[Header]
Application Name	LabSolutions
12,78933	-1448
12,80000	-1455
12,81067	-1391
12,82133	-1348
12,83200	-1301
12,84267	-1274
12,85333	-1235
12,86400	-1202
12,87467	-1168
12,88533	-1127
12,89600	-1084
12,90667	-1029
12,91733	-1014
12,92800	-995
12,93867	-946
12,94933	-868
12,96000	-834
12,97067	-818
12,98133	-763
12,99200	-727
13,00267	-652
13,01333	-616
13,02400	-584
13,03467	-537
13,04533	-486
13,05600	-490
13,06667	-453
13,07733	-399
13,08800	-376
13,09867	-324
13,10933	-252
13,12000	-151
13,13067	-45
13,14133	80
13,15200	172
13,16267	200
13,17333	329
13,18400	341
13,19467	373
13,20533	381
13,21600	446
13,22667	462
13,23733	511
13,24800	577
13,25867	645
13,26933	745
13,28000	793
13,29067	850
13,30133	892
13,31200	905
13,32267	945
13,33333	986
13,34400	1046
13,35467	1157
13,36533	1194
13,37600	1264
13,38667	1389
13,39733	1439
13,40800	1472
13,41867	1493
13,42933	1511
13,44000	1529
13,45067	1581
13,46133	1647
13,47200	1720
13,48267	1778
13,49333	1849
13,50400	1929
13,51467	1992
13,52533	2052
13,53600	2194
13,54667	2380
13,55733	2748
13,56800	3306
13,57867	4148
13,58933	5260
13,60000	6633
13,61067	8170
13,62133	9661
13,63200	11014
13,64267	12066
13,65333	12817
13,66400	13395
13,67467	13870
13,68533	14521
13,69600	15360
13,70667	16544
13,71733	17776
13,72800	19038
13,73867	20049
13,74933	20681
13,76000	20944
13,77067	20961
13,78133	20888
13,79200	20952
13,80267	21286
13,81333	21945
13,82400	22881
13,83467	23988
13,84533	25164
13,85600	26271
13,86667	27242
13,87733	27977
13,88800	28568
13,89867	29074
13,90933	29467
13,92000	29813
13,93067	30110
13,94133	30375
13,95200	30728
13,96267	31522
13,97333	33370
13,98400	36835
13,99467	42555
14,00533	50676
14,01600	60758
14,02667	71699
14,03733	82239
14,04800	91064
14,05867	97466
14,06933	101319
14,08000	103433
14,09067	105069
14,10133	107560
14,11200	111943
14,12267	118491
14,13333	126641
14,14400	134991
14,15467	141827
14,16533	145583
14,17600	145629
14,18667	142146
14,19733	135880
14,20800	128274
14,21867	120374
14,22933	113092
14,24000	106590
14,25067	100630
14,26133	94696
14,27200	88275
14,28267	81100
14,29333	73095
14,30400	64571
14,31467	56026
14,32533	47966
14,33600	40696
14,34667	34554
14,35733	29510
14,36800	25467
14,37867	22231
14,38933	19506
14,40000	17319
14,41067	15404
14,42133	13860
14,43200	12537
14,44267	11487
14,45333	10674
14,46400	10067
14,47467	9592
14,48533	9237
14,49600	8988
14,50667	8820
14,51733	8754
14,52800	8664
14,53867	8618
14,54933	8649
14,56000	8660
14,57067	8667
14,58133	8642
14,59200	8626
14,60267	8622
14,61333	8599
14,62400	8560
14,63467	8562
14,64533	8576
14,65600	8624
14,66667	8654
14,67733	8743
14,68800	8872
14,69867	9057
14,70933	9342
14,72000	9794
